央视(电信),#genre#
CCTV11,http://61.146.189.245:8888/rtp/239.77.1.238:5146
CCTV11,http://120.237.116.125:8888/rtp/239.77.1.238:5146
CCTV11,http://120.238.99.51:8888/rtp/239.77.1.238:5146
CCTV11,http://125.93.111.69:8888/rtp/239.77.1.238:5146
CCTV11,http://222.125.242.74:8888/rtp/239.77.1.238:5146
CCTV11,http://113.65.9.2:4014/rtp/239.77.1.238:5146
CCTV11,http://113.65.9.28:4014/rtp/239.77.1.238:5146
CCTV11,http://113.65.9.140:4014/rtp/239.77.1.238:5146
CCTV12,http://61.146.189.245:8888/rtp/239.77.1.170:5146
CCTV12,http://120.237.116.125:8888/rtp/239.77.1.170:5146
CCTV12,http://120.238.99.51:8888/rtp/239.77.1.170:5146
CCTV12,http://125.93.111.69:8888/rtp/239.77.1.170:5146
CCTV12,http://222.125.242.74:8888/rtp/239.77.1.170:5146
CCTV12,http://113.65.9.2:4014/rtp/239.77.1.170:5146
CCTV12,http://113.65.9.28:4014/rtp/239.77.1.170:5146
CCTV12,http://113.65.9.140:4014/rtp/239.77.1.170:5146
CCTV12测试,http://61.146.189.245:8888/rtp/239.77.0.136:5146
CCTV12测试,http://120.237.116.125:8888/rtp/239.77.0.136:5146
CCTV12测试,http://120.238.99.51:8888/rtp/239.77.0.136:5146
CCTV12测试,http://125.93.111.69:8888/rtp/239.77.0.136:5146
CCTV12测试,http://222.125.242.74:8888/rtp/239.77.0.136:5146
CCTV12测试,http://113.65.9.2:4014/rtp/239.77.0.136:5146
CCTV12测试,http://113.65.9.28:4014/rtp/239.77.0.136:5146
CCTV12测试,http://113.65.9.140:4014/rtp/239.77.0.136:5146
CCTV13,http://61.146.189.245:8888/rtp/239.253.43.196:5146
CCTV13,http://120.237.116.125:8888/rtp/239.253.43.196:5146
CCTV13,http://120.238.99.51:8888/rtp/239.253.43.196:5146
CCTV13,http://125.93.111.69:8888/rtp/239.253.43.196:5146
CCTV13,http://222.125.242.74:8888/rtp/239.253.43.196:5146
CCTV13,http://113.65.9.2:4014/rtp/239.253.43.196:5146
CCTV13,http://113.65.9.28:4014/rtp/239.253.43.196:5146
CCTV13,http://113.65.9.140:4014/rtp/239.253.43.196:5146
CCTV14,http://61.146.189.245:8888/rtp/239.77.1.171:5146
CCTV14,http://120.237.116.125:8888/rtp/239.77.1.171:5146
CCTV14,http://120.238.99.51:8888/rtp/239.77.1.171:5146
CCTV14,http://125.93.111.69:8888/rtp/239.77.1.171:5146
CCTV14,http://222.125.242.74:8888/rtp/239.77.1.171:5146
CCTV14,http://113.65.9.2:4014/rtp/239.77.1.171:5146
CCTV14,http://113.65.9.28:4014/rtp/239.77.1.171:5146
CCTV14,http://113.65.9.140:4014/rtp/239.77.1.171:5146
CCTV14测试,http://61.146.189.245:8888/rtp/239.77.0.133:5146
CCTV14测试,http://120.237.116.125:8888/rtp/239.77.0.133:5146
CCTV14测试,http://120.238.99.51:8888/rtp/239.77.0.133:5146
CCTV14测试,http://125.93.111.69:8888/rtp/239.77.0.133:5146
CCTV14测试,http://222.125.242.74:8888/rtp/239.77.0.133:5146
CCTV14测试,http://113.65.9.2:4014/rtp/239.77.0.133:5146
CCTV14测试,http://113.65.9.28:4014/rtp/239.77.0.133:5146
CCTV14测试,http://113.65.9.140:4014/rtp/239.77.0.133:5146
CCTV15,http://61.146.189.245:8888/rtp/239.77.1.239:5146
CCTV15,http://120.237.116.125:8888/rtp/239.77.1.239:5146
CCTV15,http://120.238.99.51:8888/rtp/239.77.1.239:5146
CCTV15,http://125.93.111.69:8888/rtp/239.77.1.239:5146
CCTV15,http://222.125.242.74:8888/rtp/239.77.1.239:5146
CCTV15,http://113.65.9.2:4014/rtp/239.77.1.239:5146
CCTV15,http://113.65.9.28:4014/rtp/239.77.1.239:5146
CCTV15,http://113.65.9.140:4014/rtp/239.77.1.239:5146
CCTV16,http://61.146.189.245:8888/rtp/239.77.1.76:5146
CCTV16,http://120.237.116.125:8888/rtp/239.77.1.76:5146
CCTV16,http://120.238.99.51:8888/rtp/239.77.1.76:5146
CCTV16,http://125.93.111.69:8888/rtp/239.77.1.76:5146
CCTV16,http://222.125.242.74:8888/rtp/239.77.1.76:5146
CCTV16,http://113.65.9.2:4014/rtp/239.77.1.76:5146
CCTV16,http://113.65.9.28:4014/rtp/239.77.1.76:5146
CCTV16,http://113.65.9.140:4014/rtp/239.77.1.76:5146
CCTV16 4K,http://61.146.189.245:8888/rtp/239.77.1.98:5146
CCTV16 4K,http://120.237.116.125:8888/rtp/239.77.1.98:5146
CCTV16 4K,http://120.238.99.51:8888/rtp/239.77.1.98:5146
CCTV16 4K,http://125.93.111.69:8888/rtp/239.77.1.98:5146
CCTV16 4K,http://222.125.242.74:8888/rtp/239.77.1.98:5146
CCTV16 4K,http://113.65.9.2:4014/rtp/239.77.1.98:5146
CCTV16 4K,http://113.65.9.28:4014/rtp/239.77.1.98:5146
CCTV16 4K,http://113.65.9.140:4014/rtp/239.77.1.98:5146
CCTV17,http://61.146.189.245:8888/rtp/239.77.1.121:5146
CCTV17,http://120.237.116.125:8888/rtp/239.77.1.121:5146
CCTV17,http://120.238.99.51:8888/rtp/239.77.1.121:5146
CCTV17,http://125.93.111.69:8888/rtp/239.77.1.121:5146
CCTV17,http://222.125.242.74:8888/rtp/239.77.1.121:5146
CCTV17,http://113.65.9.2:4014/rtp/239.77.1.121:5146
CCTV17,http://113.65.9.28:4014/rtp/239.77.1.121:5146
CCTV17,http://113.65.9.140:4014/rtp/239.77.1.121:5146
CCTV4K,http://61.146.189.245:8888/rtp/239.77.0.194:5146
CCTV4K,http://120.237.116.125:8888/rtp/239.77.0.194:5146
CCTV4K,http://120.238.99.51:8888/rtp/239.77.0.194:5146
CCTV4K,http://125.93.111.69:8888/rtp/239.77.0.194:5146
CCTV4K,http://222.125.242.74:8888/rtp/239.77.0.194:5146
CCTV4K,http://113.65.9.2:4014/rtp/239.77.0.194:5146
CCTV4K,http://113.65.9.28:4014/rtp/239.77.0.194:5146
CCTV4K,http://113.65.9.140:4014/rtp/239.77.0.194:5146
数字(电信),#genre#
广东影视,http://61.146.189.245:8888/rtp/239.77.0.217:5146
广东影视,http://120.237.116.125:8888/rtp/239.77.0.217:5146
广东影视,http://120.238.99.51:8888/rtp/239.77.0.217:5146
广东影视,http://125.93.111.69:8888/rtp/239.77.0.217:5146
广东影视,http://222.125.242.74:8888/rtp/239.77.0.217:5146
广东影视,http://113.65.9.2:4014/rtp/239.77.0.217:5146
广东影视,http://113.65.9.28:4014/rtp/239.77.0.217:5146
广东影视,http://113.65.9.140:4014/rtp/239.77.0.217:5146
广州影视,http://61.146.189.245:8888/rtp/239.253.43.68:5146
广州影视,http://120.237.116.125:8888/rtp/239.253.43.68:5146
广州影视,http://120.238.99.51:8888/rtp/239.253.43.68:5146
广州影视,http://125.93.111.69:8888/rtp/239.253.43.68:5146
广州影视,http://222.125.242.74:8888/rtp/239.253.43.68:5146
广州影视,http://113.65.9.2:4014/rtp/239.253.43.68:5146
广州影视,http://113.65.9.28:4014/rtp/239.253.43.68:5146
广州影视,http://113.65.9.140:4014/rtp/239.253.43.68:5146
佛山影视,http://61.146.189.245:8888/rtp/239.253.43.51:5146
佛山影视,http://120.237.116.125:8888/rtp/239.253.43.51:5146
佛山影视,http://120.238.99.51:8888/rtp/239.253.43.51:5146
